iter	Passed	Remaining
401	10338	246835
402	10364	246812
403	10384	246656
404	10403	246479
405	10425	246355
406	10446	246227
407	10465	246052
408	10487	245933
409	10508	245801
410	10528	245640
411	10552	245572
412	10580	245603
413	10599	245436
414	10623	245353
415	10648	245324
416	10670	245225
417	10690	245064
418	10710	244901
419	10741	245005
420	10763	244902
421	10785	244798
422	10814	244846
423	10847	244986
424	10881	245149
425	10912	245244
426	10941	245291
427	10969	245334
428	10994	245290
429	11016	245172
430	11038	245074
431	11058	244924
432	11083	244894
433	11105	244786
434	11125	244627
435	11145	244474
436	11170	244436
437	11190	244297
438	11210	244159
439	11230	244009
440	11250	243872
441	11282	243983
442	11308	243959
443	11335	243965
444	11367	244088
445	11420	244647
446	11457	244872
447	11493	245066
448	11538	245442
449	11601	246217
450	11628	246204
451	11653	246170
452	11714	246886
453	11737	246787
454	11756	246629
455	11776	246471
456	11796	246329
457	11816	246181
458	11835	246024
459	11865	246083
460	11901	246275
461	11927	246246
462	11953	246227
463	11975	246113
464	12001	246089
465	12021	245955
466	12042	245836
467	12063	245709
468	12087	245647
469	12108	245524
470	12128	245373
471	12150	245271
472	12170	245132
473	12189	244970
474	12209	244832
475	12230	244711
476	12254	244643
477	12278	244597
478	12323	244954
479	12368	245303
480	12393	245259
481	12416	245192
482	12438	245083
483	12459	244967
484	12478	244816
485	12502	244752
486	12525	244674
487	12545	244528
488	12565	244391
489	12591	244375
490	12618	244384
491	12650	244468
492	12671	244349
493	12694	244282
494	12714	244135
495	12742	244171
496	12764	244057
497	12783	243907
498	12805	243824
499	12836	243891
500	12856	243762
501	12888	243846
502	12915	243845
503	12943	243877
504	12972	243909
505	12998	243883
506	13027	243919
507	13047	243802
508	13068	243684
509	13096	243705
510	13131	243851
511	13163	243945
512	13187	243872
513	13209	243785
514	13230	243667
515	13252	243571
516	13272	243442
517	13293	243331
518	13314	243221
519	13333	243076
520	13352	242930
521	13377	242895
522	13399	242799
523	13426	242808
524	13452	242783
525	13477	242748
526	13506	242785
527	13529	242710
528	13550	242605
529	13569	242457
530	13591	242372
531	13608	242182
532	13629	242091
533	13649	241962
534	13672	241894
535	13694	241797
536	13716	241705
537	13746	241769
538	13766	241640
539	13795	241680
540	13818	241602
541	13837	241473
542	13857	241338
543	13893	241495
544	13931	241700
545	13962	241754
546	13990	241775
547	14015	241742
548	14041	241719
549	14064	241648
550	14086	241570
551	14106	241448
552	14130	241391
553	14149	241248
554	14179	241312
555	14202	241237
556	14224	241150
557	14244	241035
558	14264	240918
559	14288	240859
560	14311	240790
561	14330	240652
562	14351	240563
563	14372	240457
564	14392	240339
565	14410	240199
566	14432	240102
567	14453	240006
568	14472	239870
569	14495	239809
570	14513	239660
571	14534	239569
572	14560	239555
573	14583	239481
574	14603	239366
575	14623	239258
576	14649	239240
577	14671	239156
578	14697	239139
579	14716	239013
580	14741	238984
581	14761	238879
582	14785	238825
583	14806	238736
584	14829	238663
585	14857	238685
586	14883	238661
587	14922	238854
588	14951	238893
589	14976	238863
590	14995	238742
591	15023	238754
592	15046	238685
593	15068	238615
594	15092	238559
595	15117	238528
596	15137	238426
597	15166	238450
598	15189	238396
599	15212	238325
600	15232	238223
601	15253	238122
602	15274	238038
603	15295	237942
604	15316	237844
605	15337	237752
606	15364	237755
607	15393	237785
608	15418	237754
609	15455	237906
610	15476	237814
611	15497	237724
612	15516	237602
613	15535	237486
614	15559	237437
615	15579	237337
616	15601	237265
617	15623	237185
618	15641	237046
619	15664	236992
620	15687	236927
621	15716	236956
622	15736	236849
623	15759	236794
624	15780	236710
625	15806	236700
626	15827	236609
627	15852	236571
628	15877	236548
629	15904	236547
630	15941	236694
631	15966	236668
632	15991	236633
633	16009	236513
634	16030	236411
635	16058	236439
636	16088	236485
637	16118	236521
638	16139	236428
639	16159	236332
640	16190	236385
641	16218	236400
642	16239	236322
643	16268	236353
644	16292	236308
645	16313	236217
646	16336	236153
647	16357	236078
648	16382	236037
649	16407	236014
650	16434	236010
651	16464	236055
652	16493	236088
653	16521	236095
654	16542	236013
655	16564	235939
656	16586	235871
657	16606	235774
658	16635	235802
659	16658	235747
660	16676	235609
661	16697	235536
662	16719	235464
663	16742	235408
664	16765	235350
665	16795	235385
666	16815	235292
667	16839	235249
668	16862	235188
669	16893	235243
670	16922	235274
671	16956	235373
672	16987	235420
673	17008	235346
674	17034	235328
675	17059	235299
676	17082	235247
677	17101	235137
678	17125	235095
