iter	Logloss
0	0.6923981368
1	0.6918243775
2	0.69135833
3	0.6909224853
4	0.6903631896
5	0.689877127
6	0.6891240364
7	0.6886536737
8	0.6881269379
9	0.6876744671
10	0.6871780261
11	0.6866963453
12	0.6860859068
13	0.6856463536
14	0.6851780189
15	0.6847737574
16	0.6843115019
17	0.6838784622
18	0.683494221
19	0.6830208796
20	0.6826648201
21	0.6822857121
22	0.6817689722
23	0.6813151656
24	0.680958573
25	0.6806164002
26	0.6802322757
27	0.6798072623
28	0.6794803432
29	0.6790682162
30	0.6786814479
31	0.6781958461
32	0.6778573885
33	0.6775120796
34	0.677129402
35	0.6767527112
36	0.6763771114
37	0.6759683064
38	0.6756248041
39	0.6752854539
40	0.6749076844
41	0.6746022007
42	0.6743000976
43	0.6739702369
44	0.6736980444
45	0.6733552585
46	0.6730608501
47	0.6727082023
48	0.6724136045
49	0.6721363522
50	0.6718249137
51	0.6715515201
52	0.6712345295
53	0.6708886893
54	0.6706142753
55	0.6702949451
56	0.6699725235
57	0.6696593434
58	0.6693506336
59	0.6690159163
60	0.6687386868
61	0.6684475542
62	0.6681892972
63	0.6679435423
64	0.667652589
65	0.6674012412
66	0.6671574406
67	0.6668485548
68	0.6665443537
69	0.6662919363
70	0.6659883334
71	0.6657227621
72	0.6655019021
73	0.665230415
74	0.6649928677
75	0.6647473735
76	0.6644722635
77	0.6642380569
78	0.6639922073
79	0.6637567784
80	0.6634845018
81	0.6632965867
82	0.663043845
83	0.6627889706
84	0.6624601824
85	0.6622440951
86	0.6620173489
87	0.6617615782
88	0.661547675
89	0.6613057904
90	0.6610880527
91	0.6608738595
92	0.6606827194
93	0.660358424
94	0.6601581656
95	0.6599005088
96	0.6596771519
97	0.6594791376
98	0.6592677923
99	0.6590689894
100	0.6588194267
101	0.658601628
102	0.6584392111
103	0.6582269033
104	0.6580264259
105	0.6578174413
106	0.6575762112
107	0.6573562325
108	0.6571536427
109	0.6569478856
110	0.6567181016
111	0.6565147991
112	0.6563270986
113	0.6561042783
114	0.6558111802
115	0.6555815473
116	0.6551871494
117	0.6550099866
118	0.6548167549
119	0.6545873711
120	0.65435362
121	0.6541815425
122	0.6539426023
123	0.6537667745
124	0.6535816388
125	0.653415885
126	0.6532121907
127	0.65303114
128	0.6528419857
129	0.6526402719
130	0.6524581775
131	0.6522317842
132	0.652046008
133	0.6518841471
134	0.6516881614
135	0.6514780411
136	0.6512907452
137	0.6511095707
138	0.6509017034
139	0.6507235393
140	0.6505343712
141	0.6503795924
142	0.6502066849
143	0.6500012467
144	0.6497876435
145	0.6496333868
146	0.649442301
147	0.6492501076
148	0.6490850939
149	0.6488637263
150	0.6486702883
151	0.6485126606
152	0.6483184385
153	0.6481347203
154	0.6479730871
155	0.647823689
156	0.6476085186
157	0.6474383661
158	0.647289376
159	0.6471451994
160	0.6469492733
161	0.6467851479
162	0.6466468626
163	0.6464673517
164	0.6463149996
